sku,name,sourceGroup,sourceRow,status,category,sellUnit,sourcePack,outerPack,unitPrice,warning,nextAction,resolution
SRG2OI,SIRO GOLD 2L ỔI,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,140000,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SRG2NH,SIRO GOLD 2L NHO,Siro Gold 2l,7,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CAN,2 kg / CAN,6 CAN / THÙNG,140000,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận sản phẩm là can 2 lít hay can 2 kg; chụp nhãn/quy cách thùng.,
SRMMVC,SIRO MAMA VỎ CAM,Siro vỏ cam Gold 700ml,9,HOLD_CHUAN_HOA,XUNG ĐỘT ĐƠN VỊ,CHAI,1000 g / CHAI,12 CHAI / THÙNG,70000,Tên có dung tích ml/lít nhưng quy cách đang là khối lượng g/kg,Xác nhận thương hiệu Mama hay Gold và quy cách thật 700 ml hay 1000 g.,
GTPDDE,GTP ĐƯỜNG ĐEN,"Siro GTP dâu , duong den",11,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,BÌNH,0 g / BÌNH,6 BÌNH / THÙNG,146000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một bình GTP đường đen và số bình/thùng.,
SRVNMT,SIRO VINA MĂNG CỤT,Siro Vina,12,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,12 CHAI / THÙNG,40000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng một chai Vina và số chai/thùng.,
SRVNMC,SIRO VINA MÃNG CẦU,Siro Vina,12,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,12 CHAI / THÙNG,40000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng một chai Vina và số chai/thùng.,
SRASDU,SIRO A+ SÂM DỨA,Siro Sâm Dứa Vina,13,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,27000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng một chai A+ sâm dứa và số chai/thùng.,
CRSSCL,CARISA SOCOLA,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,30000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
CRSCHA,CARISA CHANH,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,30 CHAI / THÙNG,30000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
CRSVQU,CARISA VIỆT QUỐC,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,30000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
CRSVAI,CARISA VẢI,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,30000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
CRSSDU,CARISA SÂM DỨA,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,30000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
CRSOIH,CARISA ỔI,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,30000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
CRSMON,CARISA MÔN,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,30000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
CRSMEE,CARISA ME,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,30000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
CRSDAO,CARISA ĐÀO,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,30000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
CRSDLU,CARISA DƯA LƯỚI,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,30000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
CRSDAU,CARISA DÂU,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,30000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
CRSCAM,CARISA CAM,Siro Carisa,14,HOLD_CHUAN_HOA,THIẾU ĐỊNH LƯỢNG,CHAI,0 g / CHAI,24 CHAI / THÙNG,30000,Khối lượng/dung tích bằng 0,Xác nhận khối lượng/dung tích một chai Carisa và số chai/thùng.,
GTPDAU,GTP DÂU,"Siro GTP dâu, đường đen",11,DONE_DUPLICATE_SOURCE,NGUỒN TRÙNG,BÌNH,2550 g / BÌNH,6 BÌNH / THÙNG,146000,Canonical SKU GTPDAU đã được apply trong SIRO-BATCH-01.,"Không map lại. Khi tổng kiểm, chỉ đối chiếu giá/quy cách với bản production hiện có.",Đã xử lý trong SIRO-BATCH-01
